Date,IBM,AAPL,MNDT,RIG,AMD,AAL,AUY,F,CCL,NUAN
2018-02-28,0.0106031703309042,0.006359474643434537,0.013087407515997731,0.05985551587434765,0.04344393344106488,0.0029406331163538755,-0.01393735256676302,0.006554367649653641,0.01385401375315057,0.0006222462465264035
2018-03-01,0.011058986323041236,0.019827452779498697,0.005988046521030517,-0.030836975255932368,0.02936383390136332,0.012190614238135757,-0.031141837682492297,0.03380278587530381,0.009457998012990014,0.003724412752711146
2018-03-02,-0.01112641822345849,-0.01973381714054713,-0.030465963910092098,-0.03043475421480001,-0.01199660174871344,-0.005292982442730147,0.023178785988376856,-0.015624985448084446,0.0112615716645839,-0.030836979650552942
2018-03-05,-0.018362357452013842,-0.009188976363552284,-0.026790860945176225,-0.03319052043660721,-0.01881952736747618,-0.005481986625051614,0.016949136104436064,-0.02618811766250087,-0.0009213141489136517,-0.0006115900322758532
2018-03-06,0.009918705803783947,0.006969846931817889,0.007274821601005099,0.015479837463970251,0.020815986281065683,-0.00431195241054324,0.02020200074126503,0.0018778877751843008,-0.008384193057181034,0.008510612633434847
2018-03-07,-0.021419352473670522,-0.0005144411605960052,-0.03361824377416383,0.002125345846297291,-0.056994805851508464,-0.018637080165160882,0.0342466234377868,-0.011417686293604285,-0.0025821052216858367,-0.03020959362105307
2018-03-08,0.017547126457781004,-0.008320074933977562,0.02040810529574899,-0.0042553152634363075,0.034677368123373464,-0.008466759966308775,0.02120139377988657,0.003755865097255979,-0.004213791144482713,-0.045806059078302104
2018-03-09,-0.01168474352564176,-0.011350803199955552,-0.006155495122385708,-0.008421044600637336,0.02743141571330282,-0.01852861892642845,0.05415165935028613,-0.009407283792928689,-0.007014943592583955,0.002271447703306338
2018-03-12,-0.003883695298334185,-0.007931709955198624,0.010555585225423178,-0.035564768199791166,0.02040814340536656,-0.00426593824434825,0.003816790419867876,-0.011225523287541204,0.0032554189810931463,-0.022779090612956094
2018-03-13,0.004809742832343629,0.014349061666768899,0.0156423902382108,0.015090505519366353,-0.012173942897630774,0.011079863899975768,0.011320833482532376,0.005535093982667058,0.0020676324256596003,0.031719531939789
2018-03-14,0.012798848223238062,0.010425936149349285,0.009648130998689644,0.0040733159975666735,0.029059842575266302,0.022803622458661077,-0.011450462259065276,0.020444403754340278,0.010492080740124574,0.0017133464113844518
2018-03-15,-0.005670666879596581,-0.0008403019410889356,-0.037206728759401224,0.02653063508382846,-0.002624648483833093,0.003252038123541059,0.011363715384942585,-0.0018099098410988745,0.007289465261399259,-0.01902016884578966
2018-03-16,-0.001249553018800832,0.0035263904032847267,0.053304903400824936,-0.02066113666940684,0.0017406009127717494,-0.0016271949078517172,0.0,-0.002697817741001092,-0.0013469615039840808,0.015254217970729195
2018-03-19,0.01477675864694167,0.01139185759657388,0.0022740713576093236,0.017329262897278003,-0.0017528885215724308,0.012832150292310735,-0.003816881419329523,0.012555999501181274,-0.006848281926637412,0.00808778571774736
2018-03-20,0.008379871003303698,0.0,0.001136389621032593,-0.0031055624684329848,0.026292742747310905,-0.00709993423414727,-0.007692300638503318,0.005429902134029645,0.0023526489793203142,0.010489433221782663
2018-03-21,-0.000766484357765825,0.0215378722479107,-0.014840195324687992,-0.06769229204226763,-0.0089606077810938,0.002213594058501596,-0.04528297405304192,-0.009090943769975142,0.012080137419023381,0.004725362248254587
2018-03-22,0.018774202330920146,0.006764669979319853,0.030681869535405647,0.01762980455467753,0.017117164642156492,0.023702881940320993,0.02158271345216813,0.022727272727272728,0.0366706086684664,0.029673602346395295
2018-03-23,0.022068948310310272,0.020488134454226214,0.005875462913052473,-0.009920672839941849,0.025664503839347746,0.030780974989633343,-0.01792113010749858,0.0213159910147793,0.043652485205940984,0.03595362676411851
